Pais;Region;Casos totales;Fallecimientos;Recuperados;Casos activos;Casos cerrados;Fecha
World;Total;1133453;60379;236000;837074;296379;04/04/2020
USA;New York;103476;3218;8886;91372;12104;04/04/2020
USA;New Jersey;29895;646;0;29249;646;04/04/2020
USA;Michigan;12744;479;5;12260;484;04/04/2020
USA;California;12581;285;850;11446;1135;04/04/2020
USA;Massachusetts;10402;192;10;10200;202;04/04/2020
USA;Louisiana;10297;370;20;9907;390;04/04/2020
USA;Florida;10268;170;0;10098;170;04/04/2020
USA;Illinois;8904;210;2;8692;212;04/04/2020
USA;Pennsylvania;8420;102;38;8280;140;04/04/2020
USA;Washington;6966;291;563;6112;854;04/04/2020
USA;Georgia;5967;198;0;5769;198;04/04/2020
USA;Texas;5658;97;250;5311;347;04/04/2020
USA;Connecticut;4914;131;0;4783;131;04/04/2020
USA;Colorado;4173;111;0;4062;111;04/04/2020
USA;Indiana;3437;102;0;3335;102;04/04/2020
USA;Ohio;3312;91;0;3221;91;04/04/2020
USA;Tennessee;3194;37;248;2909;285;04/04/2020
USA;Maryland;2758;42;159;2557;201;04/04/2020
USA;North Carolina;2328;28;20;2280;48;04/04/2020
USA;Missouri;2113;19;2;2092;21;04/04/2020
USA;Virginia;2012;46;2;1964;48;04/04/2020
USA;Wisconsin;1916;46;2;1868;48;04/04/2020
USA;Arizona;1769;41;3;1725;44;04/04/2020
USA;South Carolina;1700;34;0;1666;34;04/04/2020
USA;Alabama;1515;38;0;1477;38;04/04/2020
USA;Nevada;1514;43;29;1442;72;04/04/2020
USA;Mississippi;1358;29;0;1329;29;04/04/2020
USA;Utah;1246;7;0;1239;7;04/04/2020
USA;Idaho;1013;10;0;1003;10;04/04/2020
USA;Oklahoma;988;38;1;949;39;04/04/2020
USA;Oregon;899;22;0;877;22;04/04/2020
USA;Kentucky;831;37;64;730;101;04/04/2020
USA;Minnesota;789;22;288;479;310;04/04/2020
USA;District Of Columbia;757;15;173;569;188;04/04/2020
USA;Arkansas;738;12;75;651;87;04/04/2020
USA;Rhode Island;711;14;0;697;14;04/04/2020
USA;Iowa;699;11;18;670;29;04/04/2020
USA;Kansas;620;17;0;603;17;04/04/2020
USA;New Hampshire;540;7;144;389;151;04/04/2020
USA;New Mexico;495;10;0;485;10;04/04/2020
USA;Delaware;450;14;71;365;85;04/04/2020
USA;Maine;432;9;113;310;122;04/04/2020
USA;Vermont;389;17;0;372;17;04/04/2020
USA;Hawaii;319;3;58;258;61;04/04/2020
USA;Nebraska;279;6;0;273;6;04/04/2020
USA;Montana;262;6;0;256;6;04/04/2020
USA;West Virginia;237;2;0;235;2;04/04/2020
USA;South Dakota;187;2;68;117;70;04/04/2020
USA;North Dakota;173;3;55;115;58;04/04/2020
USA;Wyoming;166;0;26;140;26;04/04/2020
USA;Alaska;157;3;0;154;3;04/04/2020
USA;Total;277607;7406;12283;154;3;04/04/2020
Spain;Andalucía;7869;;;;;03/04/2020
Spain;Aragón;3078;;;;;03/04/2020
Spain;Principado de Asturias;1522;;;;;03/04/2020
Spain;Islas Baleares;1271;;;;;03/04/2020
Spain;Canarias;1564;;;;;03/04/2020
Spain;Cantabria;1384;;;;;03/04/2020
Spain;Castilla y León;8332;;;;;03/04/2020
Spain;Castilla La Mancha;9324;;;;;03/04/2020
Spain;Cataluña;24734;;;;;03/04/2020
Spain;Galicia;5625;;;;;03/04/2020
Spain;C. Valenciana;6901;;;;;03/04/2020
Spain;Extremadura;1979;;;;;03/04/2020
Spain;Comunidad de Madrid;36249;;;;;03/04/2020
Spain;Región de Murcia;1188;;;;;03/04/2020
Spain;Comunidad Foral de Navarra;2972;;;;;03/04/2020
Spain;País Vasco;8187;;;;;03/04/2020
Spain;La Rioja;2405;;;;;03/04/2020
Spain;Ceuta;73;;;;;03/04/2020
Spain;Melilla;79;;;;;03/04/2020
Spain;Total;124736;11744;34219;78773;45963;03/04/2020
Italy;Lombardia;47;8;13;26;21;03/04/2020
Italy;Emilia-Romagna;15;1;1;13;2;03/04/2020
Italy;Piemonte;10;1;723;-714;724;03/04/2020
Italy;Veneto;10;572;1;-563;573;03/04/2020
Italy;Toscana;5;290;300;-585;590;03/04/2020
Italy;Marche;4;557;42;-595;599;03/04/2020
Italy;Liguria;3;519;700;-1216;1219;03/04/2020
Italy;Trentino-Alto Adige;3;343;457;-797;800;03/04/2020
Italy;Lazio;3;199;392;-588;591;03/04/2020
Italy;Campania;2;181;144;-323;325;03/04/2020
Italy;Puglia;2;164;69;-231;233;03/04/2020
Italy;Friuli-Venezia Giulia;1;136;419;-554;555;03/04/2020
Italy;Sicilia;1;101;94;-194;195;03/04/2020
Italy;Abruzzo;1;146;116;-261;262;03/04/2020
Italy;Umbria;1;39;220;-258;259;03/04/2020
Italy;Sardegna;825;41;40;744;81;03/04/2020
Italy;Calabria;733;45;26;662;71;03/04/2020
Italy;Valle d'Aosta;719;70;89;560;159;03/04/2020
Italy;Basilicata;261;11;3;247;14;03/04/2020
Italy;Molise;176;11;21;144;32;03/04/2020
Italy;Total;119;14;19;86;33;03/04/2020
Germany;Total;91159;1275;24575;65309;25850;04/04/2020
France;Total;82165;6507;14008;61650;20515;04/04/2020
Iran;Total;55743;3452;19736;32555;23188;04/04/2020
UK;Total;38168;3605;135;34428;3740;04/04/2020
Turkey;Total;20921;425;484;20012;909;04/04/2020
Switzerland;Total;20278;620;4846;14812;5466;04/04/2020
Belgium;Total;18431;1283;3247;13901;4530;04/04/2020
Netherlands;Total;16627;1651;250;14726;1901;04/04/2020
Canada;Total;12549;208;2322;10019;2530;04/04/2020
Austria;Total;11781;186;2507;9088;2693;04/04/2020
Portugal;Total;10524;266;75;10183;341;04/04/2020
S. Korea;Total;10156;177;6325;3654;6502;04/04/2020
Brazil;Total;9216;365;127;8724;492;04/04/2020
Israel;Total;7589;43;427;7119;470;04/04/2020
Sweden;Total;6131;358;205;5568;563;04/04/2020
Australia;Total;5550;30;585;4935;615;04/04/2020
Norway;Total;5519;61;32;5426;93;04/04/2020
Russia;Total;4731;43;333;4355;376;04/04/2020
Ireland;Total;4273;120;25;4128;145;04/04/2020
Czechia;Total;4194;56;74;4064;130;04/04/2020
Denmark;Total;4077;161;1283;2633;1444;04/04/2020
Chile;Total;3737;22;427;3288;449;04/04/2020
Romania;Total;3613;141;329;3143;470;04/04/2020
Poland;Total;3503;73;116;3314;189;04/04/2020
Malaysia;Total;3483;57;915;2511;972;04/04/2020
Ecuador;Total;3368;145;65;3158;210;04/04/2020
Philippines;Total;3094;144;57;2893;201;04/04/2020
India;Total;3082;86;229;2767;315;04/04/2020
Japan;Total;2935;69;514;2352;583;04/04/2020
Pakistan;Total;2708;41;130;2537;171;04/04/2020
Luxembourg;Total;2612;31;500;2081;531;04/04/2020
Indonesia;Total;2092;191;150;1751;341;04/04/2020
Thailand;Total;2067;20;612;1435;632;04/04/2020
Saudi Arabia;Total;2039;25;351;1663;376;04/04/2020
Finland;Total;1882;20;300;1562;320;04/04/2020
Mexico;Total;1688;60;633;995;693;04/04/2020
Panama;Total;1673;41;10;1622;51;04/04/2020
Greece;Total;1643;67;78;1498;145;04/04/2020
Peru;Total;1595;61;537;997;598;04/04/2020
South Africa;Total;1505;9;95;1401;104;04/04/2020
Dominican Republic;Total;1488;68;16;1404;84;04/04/2020
Serbia;Total;1476;39;54;1383;93;04/04/2020
Iceland;Total;1364;4;336;1024;340;04/04/2020
Argentina;Total;1353;42;266;1045;308;04/04/2020
Colombia;Total;1267;25;55;1187;80;04/04/2020
