Pais;Region;Casos totales;Fallecimientos;Recuperados;Casos activos;Casos cerrados;Fecha
North America;Total;464891;15678;28522;420691;44200;2020-04-09 11:46:00
Europe;Total;753822;62086;174104;517632;236190;2020-04-09 11:46:00
Asia;Total;255472;9618;125678;120176;135296;2020-04-09 11:46:00
South America;Total;35571;1400;3575;30596;4975;2020-04-09 11:46:00
Oceania;Total;7429;52;3305;4072;3357;2020-04-09 11:46:00
Africa;Total;12065;579;1473;10013;2052;2020-04-09 11:46:00
;Total;721;13;619;89;632;2020-04-09 11:46:00
World;Total;1529971;89426;337276;1103269;426702;2020-04-09 11:46:00
USA;USA Total;435160;14797;22891;397472;37688;2020-04-09 11:46:00
USA;New York;151171;6268;14580;130323;20848;2020-04-09 11:46:00
USA;New Jersey;47437;1504;92;45841;1596;2020-04-09 11:46:00
USA;Michigan;20346;959;69;19318;1028;2020-04-09 11:46:00
USA;California;19063;507;940;17616;1447;2020-04-09 11:46:00
USA;Louisiana;17030;652;50;16328;702;2020-04-09 11:46:00
USA;Massachusetts;16790;433;10;16347;443;2020-04-09 11:46:00
USA;Pennsylvania;16743;314;134;16295;448;2020-04-09 11:46:00
USA;Florida;15698;323;100;15275;423;2020-04-09 11:46:00
USA;Illinois;15078;462;50;14566;512;2020-04-09 11:46:00
USA;Georgia;10204;370;31;9803;401;2020-04-09 11:46:00
USA;Texas;10065;195;770;9100;965;2020-04-09 11:46:00
USA;Washington;9342;431;914;7997;1345;2020-04-09 11:46:00
USA;Connecticut;8781;335;50;8396;385;2020-04-09 11:46:00
USA;Indiana;5943;203;14;5726;217;2020-04-09 11:46:00
USA;Colorado;5655;193;40;5422;233;2020-04-09 11:46:00
USA;Maryland;5529;124;288;5117;412;2020-04-09 11:46:00
USA;Ohio;5148;193;0;4955;193;2020-04-09 11:46:00
USA;Tennessee;4362;79;627;3656;706;2020-04-09 11:46:00
USA;Virginia;3645;75;2;3568;77;2020-04-09 11:46:00
USA;North Carolina;3562;63;86;3413;149;2020-04-09 11:46:00
USA;Missouri;3431;85;69;3277;154;2020-04-09 11:46:00
USA;Wisconsin;2756;103;65;2588;168;2020-04-09 11:46:00
USA;Arizona;2726;80;20;2626;100;2020-04-09 11:46:00
USA;South Carolina;2552;63;0;2489;63;2020-04-09 11:46:00
USA;Alabama;2499;67;20;2412;87;2020-04-09 11:46:00
